Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D5, D6, D7, D8, D9",Diode_DO-35,42,~,
"D43, D44, D45, D46, D47, D48, D49, D50",SK6812MINI-E_fixed,8,SK6812MINI-E,
"H1, H10, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_3.2mm_M3,10,MountingHole_M3,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,806k,
"R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,2M,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S5, S6, S7, S8, S9",MX_PCB_1.00u,42,~,
"TP1, TP2",TestPoint_Pad_D2.0mm,2,BAT,
"TP3, TP4",TestPoint_Pad_D2.0mm,2,GND,
"U1, U2",modified-XIAO-nRF52840-SMD,2,XIAO-nRF52840-SMD,
